               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              3.1482,              6.2452,               2.826,            0.050367,            0.028259,            0.012785,           0.0058423,                   0,                   0,                   0,              0.0847,              0.0017,              0.0017
                   1,              2.8199,               4.663,              2.4453,             0.46611,            0.089014,             0.04629,            0.021262,                   0,                   0,                   0,            0.068465,           0.0034654,           0.0034654
                   2,              2.7042,               3.968,              2.2222,             0.44459,              0.1083,            0.049767,            0.022691,                   0,                   0,                   0,            0.052195,           0.0051951,           0.0051951
                   3,              2.6474,              3.8236,              2.1116,             0.48055,             0.10668,            0.061399,            0.029684,                   0,                   0,                   0,            0.035889,           0.0068891,           0.0068891
                   4,              2.6173,              3.5389,              2.1241,             0.35612,             0.14291,            0.068591,            0.032318,                   0,                   0,                   0,            0.019548,           0.0085476,           0.0085476
                   5,              2.6807,              3.5142,              2.1564,             0.24623,             0.17202,            0.061088,            0.027953,                   0,                   0,                   0,            0.009505,            0.009505,            0.009505
                   6,              2.7318,              3.4743,              2.2445,              0.4315,             0.11329,            0.060427,            0.027201,                   0,                   0,                   0,            0.009505,            0.009505,            0.009505
                   7,              2.7871,              3.4724,              2.2914,             0.36695,            0.091683,            0.056364,            0.024814,                   0,                   0,                   0,            0.009406,            0.009406,            0.009406
                   8,              2.7844,              3.4016,               2.261,             0.24094,            0.068387,            0.042543,             0.01797,                   0,                   0,                   0,            0.009307,            0.009307,            0.009307
                   9,              2.7715,              3.3811,              2.2603,              0.2061,              0.1262,            0.058244,            0.025466,                   0,                   0,                   0,            0.009208,            0.009208,            0.009208
                  10,              2.7614,              3.3071,              2.2659,             0.23765,               0.122,            0.053976,            0.023349,                   0,                   0,                   0,            0.009109,            0.009109,            0.009109
                  11,              2.7276,              3.2543,              2.2481,              0.3133,            0.079871,            0.051803,            0.024733,                   0,                   0,                   0,             0.00901,             0.00901,             0.00901
                  12,              2.7218,              3.1623,               2.199,             0.30178,             0.10156,            0.087503,             0.03934,                   0,                   0,                   0,            0.008911,            0.008911,            0.008911
                  13,              2.7305,              3.1461,              2.1978,             0.43802,            0.071211,            0.069926,            0.029032,                   0,                   0,                   0,            0.008812,            0.008812,            0.008812
                  14,              2.6869,              3.0804,              2.2053,             0.47024,             0.10518,            0.060808,            0.025744,                   0,                   0,                   0,            0.008713,            0.008713,            0.008713
                  15,              2.6685,              3.0533,              2.1871,             0.13463,             0.19449,            0.086678,            0.040674,                   0,                   0,                   0,            0.008614,            0.008614,            0.008614
                  16,              2.6611,              3.0426,              2.1745,             0.41748,             0.10262,            0.087228,            0.039477,                   0,                   0,                   0,            0.008515,            0.008515,            0.008515
                  17,              2.6339,              2.9768,              2.1471,             0.19381,              0.1503,             0.10839,            0.055299,                   0,                   0,                   0,            0.008416,            0.008416,            0.008416
                  18,              2.5966,              2.9204,              2.1339,             0.23672,              0.1418,            0.090583,            0.040562,                   0,                   0,                   0,            0.008317,            0.008317,            0.008317
                  19,              2.6179,              2.9128,              2.1074,             0.27034,             0.16982,             0.10658,            0.053768,                   0,                   0,                   0,            0.008218,            0.008218,            0.008218
                  20,              2.5673,              2.8269,              2.0945,             0.31099,             0.15236,             0.10872,            0.058209,                   0,                   0,                   0,            0.008119,            0.008119,            0.008119
                  21,               2.494,              2.7842,              2.1052,              0.1708,             0.16927,             0.12274,            0.062964,                   0,                   0,                   0,             0.00802,             0.00802,             0.00802
                  22,              2.5183,              2.7775,              2.0575,             0.30741,             0.15441,              0.1099,            0.055664,                   0,                   0,                   0,            0.007921,            0.007921,            0.007921
                  23,              2.4734,              2.6542,              2.0314,             0.17811,             0.18436,             0.13709,            0.077631,                   0,                   0,                   0,            0.007822,            0.007822,            0.007822
                  24,              2.4985,              2.6504,              2.0346,             0.18142,             0.16308,             0.11903,            0.060113,                   0,                   0,                   0,            0.007723,            0.007723,            0.007723
                  25,              2.4441,              2.6246,              2.0081,              0.1977,             0.19436,             0.14012,            0.080125,                   0,                   0,                   0,            0.007624,            0.007624,            0.007624
